Mosaic,Is Unknot
"[[0, 2, 1, 0], [2, 10, 9, 1], [3, 10, 4, 6], [0, 3, 5, 4]]",1
"[[2, 1, 2, 1], [3, 10, 9, 4], [0, 3, 9, 1], [0, 0, 3, 4]]",1
"[[0, 2, 5, 1], [2, 10, 1, 6], [3, 9, 9, 4], [0, 3, 4, 0]]",1
"[[0, 2, 5, 1], [2, 10, 1, 6], [3, 9, 10, 4], [0, 3, 4, 0]]",0
"[[0, 2, 1, 0], [2, 8, 10, 1], [3, 10, 9, 4], [0, 3, 4, 0]]",0
"[[0, 2, 5, 1], [2, 9, 1, 6], [3, 9, 9, 4], [0, 3, 4, 0]]",1
"[[2, 5, 1, 0], [6, 2, 9, 1], [3, 9, 10, 4], [0, 3, 4, 0]]",0
"[[2, 1, 2, 1], [3, 10, 9, 4], [2, 9, 7, 1], [3, 4, 3, 4]]",1
"[[0, 2, 1, 0], [2, 9, 7, 1], [3, 10, 9, 4], [0, 3, 4, 0]]",0
"[[0, 2, 1, 0], [2, 9, 10, 1], [3, 10, 7, 4], [0, 3, 4, 0]]",1
"[[0, 0, 2, 1], [0, 2, 9, 4], [2, 9, 10, 1], [3, 4, 3, 4]]",1
"[[0, 0, 2, 1], [0, 2, 9, 4], [2, 10, 9, 1], [3, 4, 3, 4]]",1
"[[0, 2, 5, 1], [2, 9, 1, 6], [3, 10, 9, 4], [0, 3, 4, 0]]",0
"[[2, 1, 2, 1], [3, 9, 9, 4], [2, 9, 7, 1], [3, 4, 3, 4]]",1
"[[0, 2, 1, 0], [2, 10, 9, 1], [3, 7, 10, 4], [0, 3, 4, 0]]",0
"[[0, 2, 1, 0], [2, 10, 9, 1], [3, 9, 4, 6], [0, 3, 5, 4]]",0
"[[0, 0, 2, 1], [0, 2, 9, 4], [2, 9, 9, 1], [3, 4, 3, 4]]",1
"[[2, 1, 2, 1], [3, 9, 8, 4], [2, 10, 9, 1], [3, 4, 3, 4]]",1
"[[0, 2, 1, 0], [2, 9, 10, 1], [6, 3, 9, 4], [3, 5, 4, 0]]",0
"[[0, 2, 1, 0], [2, 10, 9, 1], [6, 3, 10, 4], [3, 5, 4, 0]]",0
"[[0, 2, 1, 0], [2, 10, 8, 1], [3, 9, 10, 4], [0, 3, 4, 0]]",1
"[[2, 5, 1, 0], [6, 2, 10, 1], [3, 10, 9, 4], [0, 3, 4, 0]]",0
"[[2, 1, 2, 1], [3, 10, 10, 4], [2, 8, 10, 1], [3, 4, 3, 4]]",1
"[[2, 1, 0, 0], [3, 9, 1, 0], [2, 10, 10, 1], [3, 4, 3, 4]]",1
"[[2, 1, 2, 1], [3, 9, 10, 4], [0, 3, 9, 1], [0, 0, 3, 4]]",1
"[[0, 2, 1, 0], [2, 10, 9, 1], [3, 9, 8, 4], [0, 3, 4, 0]]",0
