Mosaic,Is Unknot
"[[0, 2, 1], [0, 6, 6], [0, 3, 4]]",1
"[[0, 2, 1], [2, 10, 4], [3, 4, 0]]",1
"[[0, 0, 0], [2, 1, 0], [3, 4, 0]]",1
"[[2, 5, 1], [6, 2, 4], [3, 4, 0]]",1
"[[2, 5, 1], [3, 5, 4], [0, 0, 0]]",1
"[[2, 1, 0], [3, 9, 1], [0, 3, 4]]",1
"[[0, 0, 0], [2, 5, 1], [3, 5, 4]]",1
"[[2, 5, 1], [6, 0, 6], [3, 5, 4]]",1
"[[0, 2, 1], [0, 3, 4], [0, 0, 0]]",1
"[[0, 2, 1], [2, 9, 4], [3, 4, 0]]",1
"[[0, 0, 0], [0, 2, 1], [0, 3, 4]]",1
"[[2, 1, 0], [3, 7, 1], [0, 3, 4]]",1
"[[2, 5, 1], [3, 1, 6], [0, 3, 4]]",1
"[[2, 1, 0], [6, 6, 0], [3, 4, 0]]",1
"[[0, 2, 1], [2, 8, 4], [3, 4, 0]]",1
"[[2, 1, 0], [6, 3, 1], [3, 5, 4]]",1
"[[2, 1, 0], [3, 10, 1], [0, 3, 4]]",1
"[[2, 1, 0], [3, 4, 0], [0, 0, 0]]",1
"[[0, 2, 1], [2, 4, 6], [3, 5, 4]]",1
